"","Area","Classification","Fiscal.Year","Customer","Amount"
"4960","Products","Effective Competition","2003","Army",1723996
"4961","Products","No competition","2003","Army",1591080978
"4962","Products","No competition","2003","Army",2854503.89
"4963","R&D","Effective Competition","2003","Army",140000
"4964","R&D","Unlabeled","2003","Army",68160
"4965","Services","Effective Competition","2003","DLA",-27665
"4966","Services","Unlabeled","2003","DLA",4451316
"4967","Services","Effective Competition","2003","DLA",12825056.2
"4968","Services","Unlabeled","2003","DLA",8329564
"4969","Services","Effective Competition","2003","DLA",86600
"4970","Services","No competition","2003","DLA",6940936
"4971","Services","Effective Competition","2003","DLA",105000
"4972","Services","Effective Competition","2003","DLA",9362815.5
"4973","Services","No competition","2002","Navy",285791250
"4974","Services","Effective Competition","2002","Navy",826376750.5
"4975","Services","Effective Competition","2002","Navy",12372912
"4976","Services","Effective Competition","2002","Navy",17788194
"4977","Services","No competition","2002","Navy",3060
"4978","Services","No competition","2002","Navy",462473244.4
"4979","Services","Effective Competition","2002","Navy",5765680
"4980","Services","Effective Competition","2002","Navy",7382389
"4981","Services","Effective Competition","2002","Navy",46077121.85
"4982","Services","Competition with single offer","2002","Navy",43652594
"4983","Services","Effective Competition","2002","Navy",2191696
"4984","Services","Effective Competition","2002","Navy",6381258
"4985","Services","Effective Competition","2002","Navy",10065253
"4986","Services","Effective Competition","2002","Navy",19697318
"4987","Services","Effective Competition","2002","Navy",5117167
"4988","Services","No competition","2002","Navy",15527667
"4989","Services","Effective Competition","2002","Navy",75000
"4990","Services","Effective Competition","2002","Navy",164818941
"4991","Services","Effective Competition","2002","Navy",48709553
"4992","Services","No competition","2002","Navy",71672435
"4993","Services","No competition","2002","Navy",2172219
"4994","Products","No competition","2002","Navy",764534
"4995","R&D","Competition with single offer","2002","Navy",15115681
"4996","R&D","Effective Competition","2002","Navy",832661650
"4997","R&D","Effective Competition","2002","Navy",53365316
"4998","R&D","Unlabeled","2002","Navy",886920
"4999","Services","Competition with single offer","2002","Other DoD",20310590
"5000","Services","Competition with single offer","2002","Other DoD",130920
"5001","Services","Effective Competition","2002","Other DoD",14781598
"5002","Services","Effective Competition","2002","Other DoD",6798843
"5003","Services","No competition","2002","Other DoD",15110151
"5004","Services","Effective Competition","2002","Other DoD",25300
"5005","Services","Effective Competition","2002","Other DoD",1766600
"5006","Services","Effective Competition","2002","Other DoD",674088742
"5007","Services","Effective Competition","2002","Other DoD",130095793.9
"5008","Services","Effective Competition","2002","Other DoD",53935158
"5009","Services","No competition","2002","Other DoD",17363055
"5010","Services","No competition","2002","Other DoD",67173399
"5011","Services","Competition with single offer","2002","Other DoD",2793201
"5012","Services","Effective Competition","2002","Other DoD",7344706
"5013","Services","Unlabeled","2002","Other DoD",133004870
"5014","Products","Effective Competition","2002","Other DoD",946816
"5015","Products","Effective Competition","2002","Other DoD",55665390
"5016","Products","No competition","2002","Other DoD",948671
"5017","Products","Unlabeled","2002","Other DoD",32604607
"5018","R&D","Effective Competition","2002","Other DoD",23926104
"5019","R&D","Effective Competition","2002","Other DoD",537786
"5020","Services","Effective Competition","2003","Air Force",1663325
"5021","Services","Effective Competition","2003","Air Force",493168004
"5022","Services","Effective Competition","2003","Air Force",26950162
"5023","Services","Unlabeled","2003","Air Force",29173806
"5024","Services","No competition","2003","DLA",23055836
"5025","Products","Effective Competition","2003","DLA",66784568
"5026","Products","Effective Competition","2003","DLA",17598139
"5027","Products","No competition","2003","DLA",1470997391
"5028","Products","No competition","2003","DLA",193139
"5029","R&D","Competition with single offer","2003","DLA",34800
"5030","R&D","Effective Competition","2003","DLA",796651
"5031","Services","No competition","2003","MDA",194646
"5032","Services","Competition with single offer","2003","MDA",19013594.81
"5033","Products","Unlabeled","2003","MDA",428416
"5034","R&D","Effective Competition","2003","MDA",50499065
"5035","R&D","No competition","2003","MDA",2460306
"5036","Services","No competition","2003","MilitaryHealth",132600
"5037","Services","Competition with single offer","2003","MilitaryHealth",-1632131
"5038","Services","Effective Competition","2003","MilitaryHealth",233306089
"5039",NA,"Competition with single offer","2003","Navy",12351
"5040",NA,"Effective Competition","2003","Navy",6288
"5041",NA,"Effective Competition","2003","Navy",0
"5042",NA,"Effective Competition","2003","Navy",80535
"5043",NA,"No competition","2003","Navy",13300
"5044","Services","Competition with single offer","2003","Navy",342906300.4
"5045","Services","No competition","2003","Navy",54963227.89
"5046","Services","Unlabeled","2003","Navy",11647526.24
"5047","Services","Competition with single offer","2003","Navy",19618628
"5048","Services","Effective Competition","2003","Navy",1111777
"5049","Services","Effective Competition","2003","Navy",512029926
"5050","Services","Effective Competition","2003","Navy",816091780.6
"5051","Services","Effective Competition","2003","Navy",382393524.5
"5052","Services","No competition","2003","Navy",24785892
"5053","Services","Unlabeled","2003","Navy",444792423
"5054","Products","Competition with single offer","2003","Navy",150958726
"5055","Products","Unlabeled","2003","Navy",8903849.5
"5056","R&D","Effective Competition","2003","Navy",6700358
"5057","R&D","Effective Competition","2003","Navy",316236202
"5058","R&D","Effective Competition","2003","Navy",-250000
"5059",NA,"Effective Competition","2003","Other DoD",0
"5060",NA,"No competition","2003","Other DoD",268210
"5061",NA,"Unlabeled","2003","Other DoD",18905
"5062","Services","Effective Competition","2003","Other DoD",131926970
"5063","Services","Unlabeled","2003","Other DoD",714069
"5064","Services","Competition with single offer","2003","Other DoD",372651525.7
"5065","Services","Effective Competition","2003","Other DoD",189625132
"5066","Services","Effective Competition","2003","Other DoD",83295514
"5067","Services","Effective Competition","2003","Other DoD",98944363
"5068","Services","No competition","2003","Other DoD",18565329
"5069","Services","No competition","2003","Other DoD",263852261.6
"5070","Services","No competition","2003","Other DoD",66199443
"5071","Services","Competition with single offer","2003","Other DoD",186401
"5072","Services","No competition","2003","Other DoD",252528
"5073","Services","Effective Competition","2003","Other DoD",131901106
"5074","Services","Effective Competition","2003","Other DoD",271580
"5075","Services","Effective Competition","2003","Other DoD",33223012
"5076","Products","No competition","2003","Other DoD",1763172
"5077","Services","Competition with single offer","2003","Air Force",5759451
"5078","Services","Effective Competition","2003","Air Force",151657286
"5079","Services","Effective Competition","2003","Air Force",157452
"5080","Services","Effective Competition","2003","Air Force",386544109.8
"5081","Services","Effective Competition","2003","Air Force",104224498.1
"5082","Services","Unlabeled","2003","Air Force",354655
"5083","Services","Unlabeled","2003","Air Force",1763804
"5084","Services","Effective Competition","2003","Air Force",422123205
"5085","Services","Effective Competition","2003","Air Force",30308874
"5086","Products","No competition","2003","Air Force",223012986
"5087","R&D","Effective Competition","2003","Air Force",83402278
"5088","R&D","Effective Competition","2003","Air Force",4150018
"5089","R&D","Unlabeled","2003","Air Force",3727090
"5090","Services","Effective Competition","2003","Army",23235194
"5091","Services","Effective Competition","2003","Army",50000
"5092","Services","Effective Competition","2003","Army",557527763.1
"5093","Services","Effective Competition","2003","Army",46858838
"5094","Services","Unlabeled","2003","Army",369592.95
"5095","Services","Effective Competition","2003","Army",2302863571
"5096","Services","Effective Competition","2003","Army",126400439
"5097","Services","Unlabeled","2003","Army",50113320.27
"5098","Services","Unlabeled","2003","Army",921762
"5099","Services","Competition with single offer","2003","Army",222281515.2
"5100","Services","Effective Competition","2003","Army",11098893
"5101","Services","Effective Competition","2003","Army",6429897
"5102","Services","Effective Competition","2003","Army",832848
"5103","Services","No competition","2003","Army",3297474
"5104","Services","Unlabeled","2003","Army",2831062
"5105","Products","Effective Competition","2003","Army",564874
"5106","Products","Effective Competition","2003","Army",31626840.5
"5107","R&D","Effective Competition","2003","Army",45801474
"5108","R&D","No competition","2003","Army",2287163229
"5109","Services","Effective Competition","2003","DLA",4948824
"5110","Services","Effective Competition","2003","DLA",39129663.55
"5111","Services","Effective Competition","2003","DLA",4816826
"5112","Services","Competition with single offer","2003","DLA",12537701
"5113","Services","No competition","2003","DLA",13007995
"5114","Services","Effective Competition","2003","DLA",44921
"5115","Products","Effective Competition","2003","DLA",1885186
"5116","Products","Effective Competition","2003","DLA",24791140
"5117","Services","Unlabeled","2003","MDA",18862289
"5118","Services","No competition","2003","MDA",1225000
"5119","Products","No competition","2003","MDA",1700000
"5120","Services","Unlabeled","2003","MilitaryHealth",137366
"5121",NA,"Effective Competition","2003","Navy",8132
"5122",NA,"No competition","2003","Navy",39952
"5123","Services","Effective Competition","2003","Navy",200427635
"5124","Services","Effective Competition","2003","Navy",1935584
"5125","Services","Effective Competition","2003","Navy",57740954
"5126","Services","No competition","2003","Navy",916215058
"5127","Services","Unlabeled","2003","Army",617860694
"5128","Products","Effective Competition","2003","Army",55090957
"5129","Products","Effective Competition","2003","Army",131160
"5130","Products","No competition","2003","Army",11932183002
"5131","Products","Unlabeled","2003","Army",46740119
"5132","Products","Unlabeled","2003","Army",1637535204
"5133","R&D","Effective Competition","2003","Army",33232855
"5134","R&D","Effective Competition","2003","Army",489618490
"5135","R&D","Effective Competition","2003","Army",3179231
"5136","R&D","No competition","2003","Army",520009342
"5137","R&D","No competition","2003","Army",110999
"5138","R&D","Unlabeled","2003","Army",574611
"5139","Services","Effective Competition","2003","DLA",1655351
"5140","Services","Effective Competition","2003","DLA",1014140
"5141","Services","No competition","2003","DLA",299999
"5142","Services","No competition","2003","DLA",1245148
"5143","Services","Effective Competition","2003","DLA",9562891
"5144","Services","No competition","2003","DLA",5469875
"5145","Services","Effective Competition","2003","DLA",4400342
"5146","Services","Effective Competition","2003","DLA",58992
"5147","Services","Effective Competition","2003","DLA",224272
"5148","Services","Effective Competition","2003","DLA",450244
"5149","Products","Effective Competition","2003","DLA",455455983
"5150","Products","Unlabeled","2003","DLA",182306916
"5151","Products","Unlabeled","2003","DLA",263910593
"5152","Services","No competition","2003","MDA",12102882.3
"5153","Services","Effective Competition","2003","MilitaryHealth",1221393
"5154","Services","Unlabeled","2003","MilitaryHealth",706817
"5155",NA,"Effective Competition","2003","Navy",2613960
"5156","Services","Effective Competition","2003","Navy",146026316
"5157","Services","Effective Competition","2003","Navy",10996137
"5158","Services","Unlabeled","2003","Navy",136900.02
"5159","Services","Unlabeled","2003","Navy",61181420.65
"5160","Services","Effective Competition","2003","Navy",1043784987
"5161","Services","Unlabeled","2003","Navy",387739650
"5162","Services","Unlabeled","2003","Navy",241972
"5163","Services","Competition with single offer","2003","Navy",34604771
"5164","Services","Effective Competition","2003","Navy",20993299.6
"5165","Services","Effective Competition","2003","Navy",31358500
"5166","Services","Effective Competition","2003","Navy",519232
"5167","Services","No competition","2003","Navy",1860059
"5168","Services","No competition","2003","Navy",2863328
"5169","Services","Effective Competition","2003","Navy",694871
"5170","Services","Effective Competition","2003","Navy",216742220.4
"5171","Services","Effective Competition","2003","Navy",4721026
"5172","Services","Effective Competition","2003","Navy",2526880
"5173","Services","No competition","2003","Navy",93173005
"5174","Products","Effective Competition","2003","Navy",1293616
"5175","Products","Effective Competition","2003","Navy",678925
"5176","R&D","Effective Competition","2003","Navy",21450885
"5177","R&D","Effective Competition","2003","Navy",77106203
"5178","Services","No competition","2003","Other DoD",48916129.38
"5179","Products","Effective Competition","2003","Other DoD",2437076
"5180","Products","No competition","2003","Other DoD",3576992
"5181","R&D","Effective Competition","2003","Other DoD",10801237
"5182","R&D","Effective Competition","2003","Other DoD",40092586
"5183","R&D","Effective Competition","2003","Other DoD",9361847
"5184","R&D","Effective Competition","2003","Other DoD",0
"5185",NA,"Competition with single offer","2004","Air Force",-7400
"5186","Services","Effective Competition","2004","Air Force",1187531
"5187","Services","Effective Competition","2004","Air Force",2065126
"5188","Services","Effective Competition","2004","Air Force",395067627
"5189","Services","Effective Competition","2004","Air Force",237051693.6
"5190","Services","Effective Competition","2004","Air Force",6504840
"5191","Services","Unlabeled","2004","Air Force",20577764
"5192","Services","Unlabeled","2004","Air Force",58991376
"5193","Services","Competition with single offer","2004","Air Force",163378756.7
"5194","Services","Effective Competition","2004","Air Force",130513193
"5195","Services","Effective Competition","2004","Air Force",30703430
"5196","Services","No competition","2004","Air Force",128282832
"5197","Services","No competition","2004","Air Force",100337850.9
"5198","Services","Competition with single offer","2004","Air Force",16334811
"5199","Services","Effective Competition","2004","Air Force",9931510
"5200","Services","Effective Competition","2004","Air Force",763358331
"5201","Services","Effective Competition","2004","Air Force",1472618461
"5202","Services","No competition","2004","Air Force",774059571.6
"5203","Products","Effective Competition","2004","Air Force",11541019
"5204","Products","Effective Competition","2004","Air Force",554804427.7
"5205","Products","Effective Competition","2004","Air Force",51440861
"5206","Products","No competition","2004","Air Force",1491270
"5207","Products","No competition","2004","Air Force",61687
"5208","Products","Unlabeled","2004","Air Force",637897
"5209","R&D","Effective Competition","2004","Air Force",122204
"5210","Services","Effective Competition","2004","Army",58075391
"5211","Services","No competition","2004","Army",98114634
"5212","Services","No competition","2004","Army",144103
"5213","Services","Effective Competition","2004","Army",627535503.7
"5214","Services","Effective Competition","2004","Army",2553680500
"5215","Services","Effective Competition","2004","Army",508437787.5
"5216","Services","No competition","2004","Army",4921296.49
"5217","Services","Unlabeled","2004","Army",634936529
"5218","Services","Effective Competition","2004","Army",2761481
"5219","Services","Effective Competition","2004","Army",441733298.6
"5220","Services","Effective Competition","2004","Army",43688716.76
"5221","Services","Unlabeled","2004","Army",304930
"5222","Services","Unlabeled","2004","Army",660216470.4
"5223","Services","Competition with single offer","2004","Army",89602195.68
"5224","Services","Effective Competition","2004","Army",53014995.84
"5225","Services","Effective Competition","2004","Army",2502034
"5226","Services","Effective Competition","2004","Army",38747012
"5227","Services","No competition","2004","Army",209129888
"5228","Services","No competition","2002","Army",24158458.98
"5229","Services","No competition","2002","Army",25324898
"5230","Services","Effective Competition","2002","Army",26542129
"5231","Services","Effective Competition","2002","Army",820191
"5232","Products","Effective Competition","2002","Army",10728435
"5233","R&D","Effective Competition","2002","Army",37806752
"5234","R&D","No competition","2002","Army",2251214008
"5235","R&D","Unlabeled","2002","Army",20000
"5236","R&D","Unlabeled","2002","Army",0
"5237","Services","Unlabeled","2002","DLA",30589817
"5238","Services","Effective Competition","2002","DLA",32273822.42
"5239","Services","No competition","2002","DLA",11839529
"5240","Services","Effective Competition","2002","DLA",53520
"5241","Products","Effective Competition","2002","DLA",38628275
"5242","Products","Effective Competition","2002","DLA",23641442
"5243","R&D","Unlabeled","2002","DLA",259000
"5244","Services","Unlabeled","2002","MDA",19265779
"5245","Services","Unlabeled","2002","MDA",7208277
"5246","Products","Unlabeled","2002","MDA",579489
"5247","R&D","No competition","2002","MDA",8101801
"5248",NA,"Competition with single offer","2002","Navy",588324
"5249",NA,"Effective Competition","2002","Navy",43557
"5250",NA,"Effective Competition","2002","Navy",26100000
"5251","Services","Competition with single offer","2002","Navy",458027233.8
"5252","Services","Effective Competition","2002","Navy",367891421.4
"5253","Services","Competition with single offer","2002","Navy",306548958
"5254","Services","Effective Competition","2002","Navy",983281974
"5255","Services","Effective Competition","2002","Navy",362358286
"5256","Services","No competition","2002","Navy",388773005
"5257","Services","Effective Competition","2002","Navy",20523221
"5258","Services","No competition","2002","Navy",38233352
"5259","Services","Effective Competition","2002","Navy",28138840
"5260","Services","Effective Competition","2002","Navy",6233196
"5261","Services","Unlabeled","2002","Navy",6297609
"5262","Services","Effective Competition","2002","Navy",552104968
"5263","Services","Effective Competition","2002","Navy",858755614
"5264","Services","Effective Competition","2002","Navy",26983791
"5265","Products","Effective Competition","2002","Navy",10233120
"5266","R&D","Effective Competition","2002","Navy",-1158888
"5267","Services","Effective Competition","2002","Other DoD",201830593
"5268","Services","Unlabeled","2002","Other DoD",49842
"5269","Services","Effective Competition","2002","Other DoD",11723175
"5270","Services","No competition","2002","Other DoD",9091150
"5271","Services","Competition with single offer","2002","Other DoD",346911914.3
"5272","Services","Effective Competition","2002","Other DoD",41658464
"5273","Services","Effective Competition","2002","Other DoD",62448852
"5274","Services","No competition","2002","Other DoD",4987352
"5275","Services","Effective Competition","2002","Other DoD",52476969.25
"5276","Products","Competition with single offer","2002","Other DoD",82739838
"5277","Products","Effective Competition","2002","Other DoD",39132
"5278","Products","Effective Competition","2002","Other DoD",27869261
"5279","R&D","Effective Competition","2002","Other DoD",173513270
"5280","R&D","Effective Competition","2002","Other DoD",13625270
"5281","Services","No competition","2003","Army",14474915
"5282","Services","Effective Competition","2003","Army",3642753
"5283","Services","Effective Competition","2003","Army",75793576
"5284","Services","Effective Competition","2003","Army",71844179.42
"5285","Services","Effective Competition","2003","Army",19822
"5286","Services","Effective Competition","2003","Army",332646209
"5287","Services","Unlabeled","2003","Army",16825225
"5288","Services","Unlabeled","2003","Army",252361988
"5289","Products","Competition with single offer","2003","Army",2345631504
"5290","Products","Competition with single offer","2003","Army",21217071
"5291","Products","Effective Competition","2003","Army",1227547896
"5292","Products","Effective Competition","2003","Army",1060917
"5293","Products","Effective Competition","2003","Army",84711943
"5294","R&D","Effective Competition","2003","Army",688171424.2
"5295","R&D","Effective Competition","2003","Army",18346313
"5296","R&D","No competition","2003","Army",143995380
"5297","R&D","Unlabeled","2003","Army",1076721
"5298","R&D","Unlabeled","2003","Army",60229364
"5299","Services","Effective Competition","2003","DLA",20350650
"5300","Services","Effective Competition","2003","DLA",339920
"5301","Services","Effective Competition","2003","DLA",24435959
"5302","Services","Effective Competition","2003","DLA",6296944
"5303","Services","Effective Competition","2003","DLA",16651138
"5304","Services","Unlabeled","2003","DLA",49420165
"5305","Products","Competition with single offer","2003","DLA",541201135
"5306","Products","Competition with single offer","2003","DLA",4386669
"5307","Products","Effective Competition","2003","DLA",1582623088
"5308","Products","Effective Competition","2003","DLA",165810149
"5309","Products","Effective Competition","2003","DLA",11121935
"5310","R&D","Effective Competition","2003","DLA",113130423
"5311","Services","Effective Competition","2003","MDA",18731221
"5312","Services","Effective Competition","2003","MDA",455023
"5313","Services","Effective Competition","2003","MDA",8991298.79
"5314","Services","No competition","2003","MDA",67440
"5315","Services","Unlabeled","2003","MDA",5436482
"5316","Products","Effective Competition","2003","MDA",2009620998
"5317","R&D","Effective Competition","2003","MDA",5307772
"5318","R&D","No competition","2003","MDA",8701421
"5319","Services","Effective Competition","2003","MilitaryHealth",398299206
"5320","Services","Competition with single offer","2003","MilitaryHealth",-1192692
"5321","Services","Effective Competition","2003","Navy",203708788
"5322","Services","Effective Competition","2003","Navy",571072280
"5323","Services","Effective Competition","2003","Navy",279473209.5
"5324","Services","No competition","2003","Navy",4996709
"5325","Services","Unlabeled","2003","Navy",108565317
"5326","Services","Effective Competition","2003","Navy",690297624.8
"5327","Services","Effective Competition","2003","Navy",469249477
"5328","Services","Effective Competition","2003","Navy",19988712
"5329","Services","No competition","2003","Navy",763431262.5
"5330","Services","Unlabeled","2003","Navy",4225651
"5331","Services","Unlabeled","2003","Navy",33096501.28
"5332","Services","Effective Competition","2003","Navy",10879203
"5333","Services","Effective Competition","2003","Navy",24835193
"5334","Services","Effective Competition","2003","Navy",14247988
"5335","R&D","Competition with single offer","2003","Other DoD",3407144
"5336","R&D","Effective Competition","2003","Other DoD",3212904
"5337","Services","Effective Competition","2004","Air Force",27813786
"5338","Services","No competition","2004","Air Force",13133607
"5339","Services","No competition","2004","Air Force",19357612
"5340","Services","Competition with single offer","2004","Air Force",8459523
"5341","Services","Effective Competition","2004","Air Force",76037903
"5342","Services","Effective Competition","2004","Air Force",61549500.41
"5343","Services","Effective Competition","2004","Air Force",24508362
"5344","Services","No competition","2004","Air Force",18735404
"5345","Services","Effective Competition","2004","Air Force",7652191
"5346","Services","No competition","2004","Air Force",6334994
"5347","Services","Effective Competition","2004","Air Force",256027255
"5348","Services","Effective Competition","2004","Air Force",3935394
"5349","Services","Unlabeled","2004","Air Force",1230225433
"5350","Products","Effective Competition","2004","Air Force",1293984
"5351","Products","Effective Competition","2004","Air Force",2207328396
"5352","Products","Effective Competition","2004","Air Force",3809561
"5353","Products","Effective Competition","2004","Air Force",887917953.1
"5354","Products","Effective Competition","2004","Air Force",18233245
"5355","R&D","Effective Competition","2004","Air Force",112718016
"5356","R&D","Effective Competition","2004","Air Force",965372
"5357","Services","Effective Competition","2004","Army",9940
"5358","Services","Effective Competition","2004","Army",41248504
"5359","Services","No competition","2004","Army",3624763
"5360","Services","Effective Competition","2004","Army",81162729
"5361","Services","Effective Competition","2004","Army",108341963
"5362","Services","Effective Competition","2004","Army",103013021.3
"5363","Services","Effective Competition","2004","Army",202808
"5364","Services","No competition","2004","Army",2045764
"5365","Services","No competition","2004","Army",92795126.82
"5366","Services","Effective Competition","2004","Army",10055708
"5367","Services","Effective Competition","2004","Army",800927
"5368","Services","Unlabeled","2004","Army",19223240
"5369","Services","Competition with single offer","2004","Army",142201565.3
"5370","Services","Effective Competition","2004","Army",404425150.8
"5371","Services","Effective Competition","2004","Army",1104950100
"5372","Products","Effective Competition","2004","Army",424150310
"5373","Products","Effective Competition","2004","Army",50401
"5374","Products","No competition","2004","Army",12255348666
"5375","R&D","Unlabeled","2004","Army",79032594.56
"5376","Services","Effective Competition","2004","DLA",5900017
"5377","Services","Competition with single offer","2004","DLA",17362357.63
"5378","Services","Effective Competition","2004","DLA",43903931.61
"5379","Services","Effective Competition","2004","DLA",12788156
"5380","Services","Effective Competition","2004","DLA",12248184
"5381","Services","Effective Competition","2004","DLA",2022894
"5382","Services","Competition with single offer","2004","DLA",109694
"5383","Services","Effective Competition","2004","DLA",13111465
"5384","Products","Effective Competition","2004","DLA",1155420103
"5385","R&D","Effective Competition","2004","MDA",6658654
"5386",NA,"Effective Competition","2003","Air Force",0
"5387",NA,"Unlabeled","2003","Air Force",408046.6
"5388",NA,"Unlabeled","2003","Air Force",589861
"5389","Services","Competition with single offer","2003","Air Force",242023584
"5390","Services","Effective Competition","2003","Air Force",21185021
"5391","Services","Effective Competition","2003","Air Force",14922369
"5392","Services","No competition","2003","Air Force",31600799
"5393","Services","Competition with single offer","2003","Air Force",23577714
"5394","Services","Effective Competition","2003","Air Force",430098496
"5395","Services","Effective Competition","2003","Air Force",171882230
"5396","Services","Effective Competition","2003","Air Force",9694996
"5397","Services","Effective Competition","2003","Air Force",548766
"5398","Services","Effective Competition","2003","Air Force",17505319
"5399","Services","Effective Competition","2003","Air Force",1653289
"5400","Services","No competition","2003","Air Force",21227832
"5401","Services","No competition","2003","Air Force",13228112.4
"5402","Services","Effective Competition","2003","Air Force",37041509
"5403","Services","Effective Competition","2003","Air Force",11640325
"5404","Services","Effective Competition","2003","Air Force",194384096.8
"5405","Services","No competition","2003","Air Force",1755509
"5406","Products","Effective Competition","2003","Air Force",3592161
"5407","Products","Effective Competition","2003","Air Force",147583913
"5408","Products","No competition","2003","Air Force",1314159
"5409","R&D","Competition with single offer","2003","Air Force",723219399
"5410","R&D","Effective Competition","2003","Air Force",88165902
"5411","R&D","Effective Competition","2003","Air Force",839946523
"5412",NA,"Competition with single offer","2003","Army",3919813.81
"5413",NA,"Effective Competition","2003","Army",0
"5414","Services","Effective Competition","2003","Army",0
"5415","Services","Effective Competition","2003","Army",20519153
"5416","Services","Effective Competition","2003","Army",30174415
"5417","Services","No competition","2003","Army",520831081.6
"5418","Services","No competition","2003","Army",13127306
"5419","Services","Unlabeled","2003","Army",8718161
"5420","Services","Effective Competition","2003","Army",121013360.7
"5421","Services","No competition","2003","Army",87510144
"5422","Services","Unlabeled","2003","Army",31373642
"5423","Services","Competition with single offer","2003","Army",25455590
"5424","Services","Effective Competition","2003","Army",68753097
"5425","Services","Effective Competition","2003","Army",515113
"5426","Services","Unlabeled","2003","Army",268211
"5427","Services","Unlabeled","2003","Army",2738148
"5428","Services","Competition with single offer","2003","Army",70797319.76
"5429","Services","Effective Competition","2003","Army",1269978285
"5430","Products","Effective Competition","2003","Army",541391017
"5431","Products","Effective Competition","2003","Army",1332077352
"5432","Products","No competition","2003","Army",4672071
"5433","R&D","Effective Competition","2003","Army",52164839
"5434",NA,"Competition with single offer","2003","DLA",0
"5435","Services","Competition with single offer","2003","DLA",23018229.08
"5436","Services","Effective Competition","2003","DLA",31906828.72
"5437","Services","No competition","2003","Navy",7333183.67
"5438","Services","No competition","2003","Navy",178530006
"5439","Services","Competition with single offer","2003","Navy",1959459
"5440","Services","Effective Competition","2003","Navy",993451
"5441","Services","Competition with single offer","2003","Navy",1311973131
"5442","Services","No competition","2003","Navy",564472397.7
"5443","Products","Effective Competition","2003","Navy",719439
"5444","Products","Effective Competition","2003","Navy",275843222
"5445","Products","Effective Competition","2003","Navy",99542841
"5446","Products","Effective Competition","2003","Navy",1401740105
"5447","Products","No competition","2003","Navy",39795045
"5448","Products","Unlabeled","2003","Navy",-2980
"5449","R&D","Competition with single offer","2003","Navy",1158316626
"5450","R&D","Effective Competition","2003","Navy",-619818
"5451",NA,"No competition","2003","Other DoD",-17433
"5452","Services","No competition","2003","Other DoD",205084366
"5453","Services","Effective Competition","2003","Other DoD",4533848
"5454","Services","Effective Competition","2003","Other DoD",11732
"5455","Services","No competition","2003","Other DoD",32716634
"5456","Services","Unlabeled","2003","Other DoD",0
"5457","Services","Unlabeled","2003","Other DoD",308219866.7
"5458","Services","Effective Competition","2003","Other DoD",91304369.73
"5459","Services","Unlabeled","2003","Other DoD",101215723
"5460","Products","Competition with single offer","2003","Other DoD",174965041
"5461","Products","Effective Competition","2003","Other DoD",115672919.7
"5462","Products","Effective Competition","2003","Other DoD",16322179
"5463","Products","No competition","2003","Other DoD",113883484.3
"5464","Products","No competition","2003","Other DoD",380292360
"5465","R&D","No competition","2003","Other DoD",18960014
"5466","R&D","Unlabeled","2003","Other DoD",7632976
"5467","Services","No competition","2004",NA,401586
"5468","Services","Effective Competition","2004","Air Force",13556775
"5469","Services","Effective Competition","2004","Air Force",455075405
"5470","Services","Effective Competition","2004","Air Force",30636741
"5471","Services","Effective Competition","2004","Air Force",15002258
"5472","Services","No competition","2004","Air Force",235733637.8
"5473","Services","No competition","2004","Air Force",78853
"5474","Services","No competition","2004","Air Force",185699112
"5475","Services","Unlabeled","2004","Air Force",145057
"5476","Services","Effective Competition","2004","Air Force",10760794
"5477","Services","Effective Competition","2004","Air Force",64482
"5478","Services","No competition","2004","Air Force",26675
"5479","Services","Effective Competition","2004","Air Force",127001
"5480","Services","Effective Competition","2004","Air Force",7080409
"5481","Services","No competition","2004","Air Force",340830
"5482","Services","No competition","2004","Air Force",411859
"5483","Services","Effective Competition","2004","Air Force",353120470.2
"5484","Services","Effective Competition","2004","Air Force",40648349
"5485","Services","Unlabeled","2004","Air Force",388317390
"5486","Services","Effective Competition","2003","Navy",1248564759
"5487","Services","No competition","2003","Navy",546071293
"5488","Services","Effective Competition","2003","Navy",694249419.8
"5489","Services","Effective Competition","2003","Navy",-250000
"5490","Services","No competition","2003","Navy",129703165.6
"5491","Services","Unlabeled","2003","Navy",79527745
"5492","Services","Effective Competition","2003","Navy",469612
"5493","Services","Effective Competition","2003","Navy",700799
"5494","Services","No competition","2003","Navy",2457965
"5495","Services","Unlabeled","2003","Navy",0
"5496","Services","Effective Competition","2003","Navy",26093940
"5497","Services","Effective Competition","2003","Navy",278115757.7
"5498","Services","No competition","2003","Navy",12535749
"5499","Products","Effective Competition","2003","Navy",38999727
"5500","Products","Effective Competition","2003","Navy",1849016942
"5501","Products","Unlabeled","2003","Navy",1125248271
"5502","R&D","Effective Competition","2003","Navy",120091797
"5503","R&D","Effective Competition","2003","Navy",17207680.31
"5504",NA,"Unlabeled","2003","Other DoD",40771
"5505","Services","Effective Competition","2003","Other DoD",153509863
"5506","Services","Effective Competition","2003","Other DoD",14944209
"5507","Services","Effective Competition","2003","Other DoD",3658986
"5508","Services","Effective Competition","2003","Other DoD",40000
"5509","Services","Effective Competition","2003","Other DoD",37363482
"5510","Services","Effective Competition","2003","Other DoD",14446354
"5511","Services","Unlabeled","2003","Other DoD",286168
"5512","Services","Competition with single offer","2003","Other DoD",54173929
"5513","Services","Effective Competition","2003","Other DoD",118023588
"5514","Services","Effective Competition","2003","Other DoD",1325058
